brand,model,body,color,transmiss,drive,steer,power,fuel,owners,title,mile_year,price
4,292,1,15,0,2,0,0.641830308896087,0,-1.2344226506125335,1,-0.9262821794400524,14.83796148566682
4,254,1,4,0,2,0,0.6034506506286751,2,1.0709971065146189,0,2.075217546265963,13.592367006650065
4,201,15,12,0,0,0,0.33281263587613064,0,0.028924396430338353,1,-0.6505941768847227,14.482826978489697
4,251,15,1,0,2,0,1.8543330942220693,0,-1.2344226506125335,1,-2.289991399292536,15.830413578506539
4,376,1,12,1,2,0,0.36608752693647,2,0.028924396430338353,1,1.0569653231638376,13.911674009991929
4,376,1,1,0,2,0,0.641830308896087,0,-1.2344226506125335,1,-1.4927399634936473,15.091431861602794
4,376,1,1,1,2,0,0.8651547315197579,2,0.028924396430338353,1,-1.545964961899949,15.319587954740548
4,376,1,1,0,2,0,0.9792176850235722,0,0.028924396430338353,1,-0.7893819478500836,14.667795959862516
4,241,5,13,0,0,0,2.100368313971495,0,0.028924396430338353,1,-1.45241197612419,15.702580206996654
4,254,1,15,0,2,0,0.9393028462828572,3,-1.2344226506125335,1,-1.0148153143153034,15.511126166639427
4,254,1,1,0,2,0,1.576085094612455,0,-1.2344226506125335,1,-0.6394098091528205,15.483028681474899
4,376,1,15,0,2,0,0.641830308896087,0,0.028924396430338353,1,-0.3287533185766692,14.861776366260175
4,452,1,13,1,1,0,-0.45562615399810663,0,-1.2344226506125335,1,-1.6371150461095827,14.751211683358253
4,376,1,1,0,2,0,0.641830308896087,0,0.028924396430338353,1,-1.497818059359831,15.090593989748163
4,204,1,15,0,2,0,1.1232633143369228,0,0.028924396430338353,1,-1.3462861139994085,15.404541660620712
4,219,15,1,0,0,0,0.33281263587613064,0,1.0709971065146189,1,0.7793766763371539,13.9108207377686
4,376,1,15,0,2,0,0.9792176850235722,0,-1.2344226506125335,1,-1.0978297835945365,14.77102200299171
4,161,15,15,0,1,0,0.7434511311021436,0,0.028924396430338353,1,-1.6921897448151566,15.132937039785364
4,376,1,12,0,2,0,0.641830308896087,0,-1.2344226506125335,1,-1.8880294886668991,15.180882054556495
4,376,1,12,0,2,0,0.641830308896087,0,-1.2344226506125335,1,-1.3903669172074773,15.076241696108818
4,292,1,1,0,2,0,0.641830308896087,0,-1.2344226506125335,1,-1.557512427218771,14.913789457731147
4,219,15,1,0,0,0,0.7071416908945211,0,0.028924396430338353,1,-1.7198352560565042,14.805051751578022
4,292,1,1,1,2,0,-0.45562615399810663,0,0.028924396430338353,1,-0.46894920387967876,14.543059165241552
